method,cap_mode,input_id,attack_index,generation,diversity
apso,query,4,1,1,14.257303237915039
apso,query,4,1,2,9.548215866088867
apso,query,4,1,3,6.035129547119141
apso,query,4,1,4,5.9289069175720215
apso,query,4,1,5,6.022739887237549
apso,query,4,1,6,4.987995147705078
apso,query,4,1,7,4.700045585632324
apso,query,4,1,8,4.3621110916137695
apso,query,4,1,9,4.407491207122803
apso,query,4,1,10,4.537563800811768
apso,query,4,1,11,4.231740951538086
apso,query,4,1,12,4.046440124511719
apso,query,4,1,13,4.289376735687256
apso,query,4,1,14,4.14997673034668
apso,query,4,1,15,3.8406693935394287
apso,query,4,1,16,3.982714891433716
apso,query,4,1,17,4.208822250366211
apso,query,4,1,18,4.294400215148926
apso,query,4,1,19,4.193400859832764
apso,query,4,1,20,3.9522342681884766
apso,query,4,1,21,4.243205547332764
apso,query,4,1,22,4.253839015960693
apso,query,4,1,23,4.271042346954346
apso,query,4,1,24,3.8308191299438477
apso,query,4,1,25,4.339583873748779
apso,query,4,1,26,4.046828269958496
apso,query,4,1,27,3.7404346466064453
apso,query,4,1,28,3.737670421600342
apso,query,4,1,29,3.8693089485168457
apso,query,4,1,30,3.8259198665618896
apso,query,4,1,31,3.5027732849121094
apso,query,4,1,32,4.017858505249023
apso,query,4,1,33,4.074764251708984
apso,query,4,1,34,3.603053331375122
apso,query,4,1,35,3.5548369884490967
apso,query,4,1,36,3.4432766437530518
apso,query,4,1,37,3.424407482147217
apso,query,4,1,38,3.089139699935913
apso,query,4,1,39,2.977057695388794
apso,query,4,1,40,2.8174209594726562
apso,query,4,1,41,2.713322401046753
apso,query,4,1,42,2.6761317253112793
apso,query,4,1,43,2.4278862476348877
apso,query,4,1,44,2.4343888759613037
apso,query,4,1,45,2.622396230697632
apso,query,4,1,46,2.66526198387146
apso,query,4,1,47,2.6286497116088867
apso,query,4,1,48,3.004716634750366
apso,query,4,1,49,3.225858449935913
apso,query,4,1,50,2.9043381214141846
apso,query,4,1,51,2.8442959785461426
apso,query,4,1,52,2.946902275085449
apso,query,4,1,53,2.8636176586151123
apso,query,4,1,54,2.8715004920959473
apso,query,4,1,55,2.656010389328003
apso,query,4,1,56,3.1072206497192383
apso,query,4,1,57,3.100600481033325
apso,query,4,1,58,2.8035354614257812
apso,query,4,1,59,2.7548203468322754
apso,query,4,1,60,2.678088903427124
apso,query,4,1,61,2.473005533218384
apso,query,4,1,62,2.462275266647339
apso,query,4,1,63,2.3431990146636963
apso,query,4,1,64,2.305637836456299
apso,query,4,1,65,2.213165044784546
apso,query,4,1,66,2.1658785343170166
apso,query,4,1,67,2.1036970615386963
apso,query,4,1,68,2.2847959995269775
apso,query,4,1,69,2.282750129699707
apso,query,4,1,70,2.1727185249328613
apso,query,4,1,71,2.1829142570495605
apso,query,4,1,72,2.182400703430176
apso,query,4,1,73,2.1751725673675537
apso,query,4,1,74,2.2788758277893066
apso,query,4,1,75,2.270930767059326
apso,query,4,1,76,2.236100196838379
apso,query,4,1,77,2.472754716873169
apso,query,4,1,78,2.4747393131256104
apso,query,4,1,79,2.7082273960113525
apso,query,4,1,80,2.720867395401001
apso,query,4,1,81,2.5676474571228027
apso,query,4,1,82,2.5558290481567383
apso,query,4,1,83,2.4989333152770996
apso,query,4,1,84,2.4420037269592285
apso,query,4,1,85,2.1972434520721436
apso,query,4,1,86,2.198227643966675
apso,query,4,1,87,2.2296175956726074
apso,query,4,1,88,2.1382973194122314
apso,query,4,1,89,2.184248208999634
apso,query,4,1,90,2.1771669387817383
apso,query,4,1,91,2.138498544692993
apso,query,4,1,92,2.5655672550201416
apso,query,4,1,93,2.504948139190674
apso,query,4,1,94,2.3460426330566406
apso,query,4,1,95,2.410327672958374
apso,query,4,1,96,2.31095814704895
apso,query,4,1,97,2.1716790199279785
apso,query,4,1,98,2.0828821659088135
apso,query,4,1,99,2.1002519130706787
apso,query,4,1,100,2.0090246200561523
apso,query,4,1,101,1.9636799097061157
apso,query,4,1,102,1.979952335357666
apso,query,4,1,103,2.5311684608459473
apso,query,4,1,104,2.5092966556549072
apso,query,4,1,105,2.6987619400024414
apso,query,4,1,106,2.8129494190216064
apso,query,4,1,107,2.8011651039123535
apso,query,4,1,108,2.919213056564331
apso,query,4,1,109,2.5887389183044434
apso,query,4,1,110,2.583216428756714
apso,query,4,1,111,2.5401105880737305
apso,query,4,1,112,2.319753885269165
apso,query,4,1,113,2.2689545154571533
apso,query,4,1,114,2.246013879776001
apso,query,4,1,115,2.527747869491577
apso,query,4,1,116,2.5917985439300537
apso,query,4,1,117,2.449233293533325
apso,query,4,1,118,2.4324123859405518
apso,query,4,1,119,2.363264560699463
apso,query,4,1,120,2.287039279937744
apso,query,4,1,121,2.176100015640259
apso,query,4,1,122,2.049011468887329
apso,query,4,1,123,2.0507993698120117
apso,query,4,1,124,2.059030771255493
apso,query,4,1,125,1.9637107849121094
apso,query,4,1,126,1.896517038345337
apso,query,4,1,127,1.8452032804489136
apso,query,4,1,128,1.7968660593032837
apso,query,4,1,129,2.056602716445923
apso,query,4,1,130,2.080568313598633
apso,query,4,1,131,2.0191385746002197
