method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
apso,query,4,1,913,5,1,True,1919392.0,5,4,True,True,49.0,17433440.0,1.0,4797,5.110301916953176,1.5192513465881348
apso,query,4,2,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,4790,5.1735872499994,1.3812533617019653
apso,query,4,3,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,4789,5.116942541964818,1.4298489093780518
apso,query,4,4,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4788,4.803437708003912,1.3910419940948486
apso,query,4,5,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4787,4.962189667043276,1.4715451002120972
apso,query,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4795,5.041141040972434,1.5077847242355347
apso,query,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4787,4.78923054097686,1.7733460664749146
apso,query,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4793,4.868357375031337,1.6703706979751587
apso,query,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4786,5.07553575001657,1.6672017574310303
apso,query,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4777,4.654468416993041,1.6847631931304932
apso,query,8,1,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4777,6.222600999986753,2.268134355545044
apso,query,8,2,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4798,6.368717833014671,2.2534689903259277
apso,query,8,3,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,6.254502041032538,2.3881418704986572
apso,query,8,4,789,7,2,True,4629216.0,5,3,True,True,395.0,17433440.0,1.0,4781,4.983906708017457,2.15488338470459
apso,query,8,5,789,7,2,True,4629216.0,5,3,True,True,417.0,17433440.0,1.0,4800,4.8794614159851335,2.253131151199341
apso,query,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4777,7.192859375034459,1.8568339347839355
apso,query,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4777,7.388327874999959,1.7963882684707642
apso,query,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4788,6.55541249999078,2.287024736404419
apso,query,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4793,6.555210040998645,2.2681047916412354
apso,query,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4793,6.650863167014904,2.414111375808716
apso,query,13,1,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4798,5.6472727920045145,1.7184606790542603
apso,query,13,2,2202,4,4,True,14114080.0,4,0,True,False,,14114080.0,0.8095980882644653,4789,6.289587917039171,2.2656753063201904
apso,query,13,3,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4795,5.44395137502579,1.7134958505630493
apso,query,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4797,5.4320415839902125,1.9705101251602173
apso,query,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4797,5.459484082995914,1.6206858158111572
