method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
apso,wall_clock,4,1,913,5,1,True,1919392.0,5,4,True,True,49.0,17433440.0,1.0,3750,3.7879393749753945,1.500828504562378
apso,wall_clock,4,2,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,3593,3.779795332986396,1.3622499704360962
apso,wall_clock,4,3,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,3594,3.774618042050861,1.4191362857818604
apso,wall_clock,4,4,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,3770,3.7814735409920104,1.374050259590149
apso,wall_clock,4,5,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,3705,3.779233707988169,1.4193695783615112
apso,wall_clock,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3546,3.775841415976174,1.3757643699645996
apso,wall_clock,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3775,3.772248999972362,1.7361387014389038
apso,wall_clock,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3682,3.780674584035296,1.6711301803588867
apso,wall_clock,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3516,3.7739679159712978,1.6633853912353516
apso,wall_clock,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3885,3.7865598339703865,1.6555745601654053
apso,wall_clock,8,1,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2935,3.7784010419854894,2.23909592628479
apso,wall_clock,8,2,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2933,3.776155832980294,2.2234413623809814
apso,wall_clock,8,3,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2868,3.79298387496965,2.352715492248535
apso,wall_clock,8,4,789,7,2,True,4629216.0,5,3,True,True,395.0,17433440.0,1.0,3575,3.7750530420453288,2.11847186088562
apso,wall_clock,8,5,789,7,2,True,4629216.0,5,3,True,True,417.0,17433440.0,1.0,3805,3.785296083020512,2.261467456817627
apso,wall_clock,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2464,3.7786444580415264,1.8478448390960693
apso,wall_clock,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2441,3.794740332989022,1.7871261835098267
apso,wall_clock,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2705,3.787365249998402,2.118300676345825
apso,wall_clock,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2781,3.7846371670020744,2.1778922080993652
apso,wall_clock,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2746,3.7822173329768702,2.3528966903686523
apso,wall_clock,13,1,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,3273,3.77934233302949,1.6931275129318237
apso,wall_clock,13,2,2202,4,4,True,14114080.0,4,0,True,False,,14114080.0,0.8095980882644653,3046,3.7830616669962183,2.193598508834839
apso,wall_clock,13,3,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,3270,3.777605000010226,1.6765868663787842
apso,wall_clock,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,3322,3.7811839589849114,1.9629617929458618
apso,wall_clock,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,3321,3.7741251660045236,1.6081022024154663
