input_id,source_index,label,original_exit,original_accuracy,original_proxy,original_observed_cost,original_blackbox_pred,original_blackbox_conf,original_final_pred,original_final_conf
0,723,2,2,True,4629216.0,0.2655365765094757,2,0.79671311378479,2,0.9861196279525757
1,923,3,3,True,7339360.0,0.42099320888519287,3,0.8673678040504456,3,0.9542998671531677
2,4186,2,2,True,4629216.0,0.2655365765094757,2,0.7343565225601196,2,0.9535899758338928
3,6644,9,2,True,4629216.0,0.2655365765094757,9,0.783218502998352,9,0.9932644367218018
4,913,5,1,True,1919392.0,0.11009829491376877,5,0.5100415945053101,5,0.9946452379226685
5,848,9,2,True,4629216.0,0.2655365765094757,9,0.8435333967208862,9,0.9996768236160278
6,6498,5,2,True,4629216.0,0.2655365765094757,5,0.7667242288589478,5,0.9671750664710999
7,7865,9,2,True,4629216.0,0.2655365765094757,9,0.8128222823143005,9,0.9987187385559082
8,789,7,2,True,4629216.0,0.2655365765094757,7,0.9854810833930969,7,0.9984598159790039
9,8078,9,2,True,4629216.0,0.2655365765094757,9,0.8079198002815247,9,0.9997889399528503
10,8651,6,3,True,7339360.0,0.42099320888519287,6,0.9070990681648254,6,0.8958501219749451
11,8494,8,2,True,4629216.0,0.2655365765094757,8,0.7541669607162476,8,0.9988343119621277
12,329,3,3,True,7339360.0,0.42099320888519287,3,0.8334871530532837,3,0.9015896320343018
13,2202,4,4,True,14114080.0,0.8095980882644653,4,0.8802523016929626,4,0.8454771041870117
14,7145,9,3,True,7339360.0,0.42099320888519287,9,0.9906917214393616,9,0.9976614713668823
15,7937,5,2,True,4629216.0,0.2655365765094757,5,0.9186326265335083,5,0.8226334452629089
16,1,2,2,True,4629216.0,0.2655365765094757,2,0.8169868588447571,2,0.9866016507148743
17,5430,8,2,True,4629216.0,0.2655365765094757,8,0.941543698310852,8,0.9991764426231384
18,3738,1,2,True,4629216.0,0.2655365765094757,1,0.9923617839813232,1,0.9997468590736389
19,714,0,3,True,7339360.0,0.42099320888519287,0,0.9871476292610168,0,0.9995905756950378
20,1276,9,3,True,7339360.0,0.42099320888519287,9,0.9857075810432434,9,0.9974110722541809
21,279,4,4,True,14114080.0,0.8095980882644653,4,0.9305909276008606,4,0.8926525712013245
22,8432,7,2,True,4629216.0,0.2655365765094757,7,0.9818966388702393,7,0.998681366443634
23,6912,7,2,True,4629216.0,0.2655365765094757,7,0.8932927846908569,7,0.9723643660545349
24,3587,1,2,True,4629216.0,0.2655365765094757,1,0.9846279621124268,1,0.9996234178543091
25,3121,8,2,True,4629216.0,0.2655365765094757,8,0.915245532989502,8,0.9985461235046387
26,6035,5,2,True,4629216.0,0.2655365765094757,5,0.7704840302467346,5,0.9927120208740234
27,8043,1,1,True,1919392.0,0.11009829491376877,1,0.508391261100769,1,0.9996954202651978
28,3905,6,4,True,14114080.0,0.8095980882644653,6,0.9106149077415466,6,0.9474325180053711
29,8056,1,1,True,1919392.0,0.11009829491376877,1,0.6193196773529053,1,0.9996150732040405
30,5514,4,3,True,7339360.0,0.42099320888519287,4,0.9631780982017517,4,0.986375093460083
31,50,4,4,True,14114080.0,0.8095980882644653,4,0.9643362760543823,4,0.9655085802078247
32,7969,3,4,True,14114080.0,0.8095980882644653,3,0.8868308067321777,3,0.9421333074569702
33,1520,3,3,True,7339360.0,0.42099320888519287,3,0.980930745601654,3,0.977670431137085
34,9927,3,4,True,14114080.0,0.8095980882644653,3,0.8660098910331726,3,0.9014443159103394
35,3009,7,2,True,4629216.0,0.2655365765094757,7,0.925952136516571,7,0.987687885761261
36,1028,4,4,True,14114080.0,0.8095980882644653,4,0.9773628115653992,4,0.9661924839019775
37,4954,3,3,True,7339360.0,0.42099320888519287,3,0.8601862788200378,3,0.9652801752090454
38,8072,0,3,True,7339360.0,0.42099320888519287,0,0.9824073314666748,0,0.99905925989151
39,6811,8,2,True,4629216.0,0.2655365765094757,8,0.7210811972618103,8,0.9972513318061829
40,6999,1,1,True,1919392.0,0.11009829491376877,1,0.5529192090034485,1,0.9996911287307739
41,748,8,2,True,4629216.0,0.2655365765094757,8,0.8961037993431091,8,0.9993466734886169
42,6415,1,1,True,1919392.0,0.11009829491376877,1,0.5297845005989075,1,0.9996669292449951
43,522,3,3,True,7339360.0,0.42099320888519287,3,0.8488361239433289,3,0.9862375259399414
44,4705,0,4,True,14114080.0,0.8095980882644653,0,0.8313769698143005,0,0.7897313833236694
45,2140,0,3,True,7339360.0,0.42099320888519287,0,0.9135518670082092,0,0.9967237114906311
46,1065,4,4,True,14114080.0,0.8095980882644653,4,0.9001660943031311,4,0.9394928812980652
47,2640,1,2,True,4629216.0,0.2655365765094757,1,0.9680817127227783,1,0.9996548891067505
48,8876,9,2,True,4629216.0,0.2655365765094757,9,0.8060351610183716,9,0.999717652797699
49,7843,6,3,True,7339360.0,0.42099320888519287,6,0.8718283176422119,6,0.8793095946311951
50,7438,1,1,True,1919392.0,0.11009829491376877,1,0.5982673764228821,1,0.9997945427894592
51,5162,9,2,True,4629216.0,0.2655365765094757,9,0.7201991081237793,9,0.997913658618927
52,9268,5,2,True,4629216.0,0.2655365765094757,5,0.7908604741096497,5,0.9761794805526733
53,8169,9,2,True,4629216.0,0.2655365765094757,9,0.9550753235816956,9,0.9996633529663086
54,8330,4,3,True,7339360.0,0.42099320888519287,4,0.8795779347419739,4,0.9514192938804626
55,5245,7,2,True,4629216.0,0.2655365765094757,7,0.9835876822471619,7,0.9992285966873169
56,6403,8,4,True,14114080.0,0.8095980882644653,8,0.9917465448379517,8,0.9977117776870728
57,7926,2,2,True,4629216.0,0.2655365765094757,2,0.7894375920295715,2,0.9948758482933044
58,6236,4,4,True,14114080.0,0.8095980882644653,4,0.9632088541984558,4,0.9541977047920227
59,7136,2,4,True,14114080.0,0.8095980882644653,2,0.853452205657959,2,0.8661226034164429
60,4849,4,3,True,7339360.0,0.42099320888519287,4,0.9182630777359009,4,0.9853237867355347
61,274,3,3,True,7339360.0,0.42099320888519287,3,0.982205331325531,3,0.9906041026115417
62,4180,1,1,True,1919392.0,0.11009829491376877,1,0.6006242036819458,1,0.9998303651809692
63,1141,9,2,True,4629216.0,0.2655365765094757,9,0.7538822293281555,9,0.9994055032730103
64,3348,1,2,True,4629216.0,0.2655365765094757,1,0.9769802093505859,1,0.9994524121284485
65,8656,9,2,True,4629216.0,0.2655365765094757,9,0.9599578380584717,9,0.9995385408401489
66,7254,8,4,True,14114080.0,0.8095980882644653,8,0.9741395711898804,8,0.9908560514450073
67,2422,3,3,True,7339360.0,0.42099320888519287,3,0.8407279849052429,3,0.9705371856689453
68,363,4,3,True,7339360.0,0.42099320888519287,4,0.8880991339683533,4,0.9101380109786987
69,6568,2,2,True,4629216.0,0.2655365765094757,2,0.7119303941726685,2,0.9884435534477234
70,3831,0,2,True,4629216.0,0.2655365765094757,0,0.8151836395263672,0,0.9913532137870789
71,386,1,1,True,1919392.0,0.11009829491376877,1,0.5834444761276245,1,0.9997957348823547
72,8254,6,3,True,7339360.0,0.42099320888519287,6,0.83250492811203,6,0.9084246754646301
73,6535,0,3,True,7339360.0,0.42099320888519287,0,0.9408837556838989,0,0.9977656602859497
74,5591,7,2,True,4629216.0,0.2655365765094757,7,0.9841008186340332,7,0.9981226325035095
75,3564,1,2,True,4629216.0,0.2655365765094757,1,0.9569575786590576,1,0.9994101524353027
76,8571,2,2,True,4629216.0,0.2655365765094757,2,0.7091915607452393,2,0.9841826558113098
77,2124,4,3,True,7339360.0,0.42099320888519287,4,0.9659338593482971,4,0.988919198513031
78,9169,3,4,True,14114080.0,0.8095980882644653,3,0.8539882898330688,3,0.8636787533760071
79,8015,5,2,True,4629216.0,0.2655365765094757,5,0.8499903082847595,5,0.998785674571991
80,7354,9,2,True,4629216.0,0.2655365765094757,9,0.8730947375297546,9,0.9998502731323242
81,8390,7,2,True,4629216.0,0.2655365765094757,7,0.9712195992469788,7,0.9940624833106995
82,3551,3,4,True,14114080.0,0.8095980882644653,3,0.8521206378936768,3,0.7796945571899414
83,1800,1,2,True,4629216.0,0.2655365765094757,1,0.9899305105209351,1,0.9996801614761353
84,8480,4,3,True,7339360.0,0.42099320888519287,4,0.9519904851913452,4,0.990342378616333
85,9212,6,4,True,14114080.0,0.8095980882644653,6,0.8547356128692627,6,0.9069285988807678
86,3250,8,2,True,4629216.0,0.2655365765094757,8,0.9120314121246338,8,0.998975396156311
87,3569,8,3,True,7339360.0,0.42099320888519287,8,0.9449903964996338,8,0.9976997971534729
88,2044,3,4,True,14114080.0,0.8095980882644653,3,0.8629719614982605,3,0.9137851595878601
89,1412,0,3,True,7339360.0,0.42099320888519287,0,0.9330827593803406,0,0.9988555908203125
90,8257,5,3,True,7339360.0,0.42099320888519287,5,0.9253928065299988,5,0.989270806312561
91,8807,1,1,True,1919392.0,0.11009829491376877,1,0.5140199065208435,1,0.9979799389839172
92,8520,7,2,True,4629216.0,0.2655365765094757,7,0.9438331723213196,7,0.9974219799041748
93,8746,6,3,True,7339360.0,0.42099320888519287,6,0.9473739862442017,6,0.9396124482154846
94,8401,9,2,True,4629216.0,0.2655365765094757,9,0.8733465671539307,9,0.9995129108428955
95,1788,7,2,True,4629216.0,0.2655365765094757,7,0.7634938955307007,7,0.914480447769165
96,9493,7,2,True,4629216.0,0.2655365765094757,7,0.8488419651985168,7,0.9203816652297974
97,8034,0,4,True,14114080.0,0.8095980882644653,0,0.8628525733947754,0,0.8774982690811157
98,169,2,2,True,4629216.0,0.2655365765094757,2,0.7137781381607056,2,0.9753929972648621
99,6571,8,2,True,4629216.0,0.2655365765094757,8,0.9753139615058899,8,0.9998430013656616
100,4914,9,2,True,4629216.0,0.2655365765094757,9,0.919101357460022,9,0.9836228489875793
101,395,0,3,True,7339360.0,0.42099320888519287,0,0.9342408180236816,0,0.9915614724159241
102,1349,9,2,True,4629216.0,0.2655365765094757,9,0.8514850735664368,9,0.9985646605491638
103,2612,1,1,True,1919392.0,0.11009829491376877,1,0.5549737215042114,1,0.9988129138946533
104,4426,8,2,True,4629216.0,0.2655365765094757,8,0.8222760558128357,8,0.997427761554718
105,1995,1,1,True,1919392.0,0.11009829491376877,1,0.5165644288063049,1,0.9996941089630127
106,3670,2,2,True,4629216.0,0.2655365765094757,2,0.7331867218017578,2,0.8193035125732422
107,7003,7,2,True,4629216.0,0.2655365765094757,7,0.9399603009223938,7,0.9729170799255371
108,2385,3,3,True,7339360.0,0.42099320888519287,3,0.8358010053634644,3,0.9444451332092285
109,2635,7,2,True,4629216.0,0.2655365765094757,7,0.9401800632476807,7,0.9952270984649658
110,8495,0,3,True,7339360.0,0.42099320888519287,0,0.9645732641220093,0,0.9973127245903015
111,2738,2,2,True,4629216.0,0.2655365765094757,2,0.7073324918746948,2,0.9702293872833252
112,6924,0,3,True,7339360.0,0.42099320888519287,0,0.9601035118103027,0,0.9985906481742859
113,6521,1,2,True,4629216.0,0.2655365765094757,1,0.9809219241142273,1,0.9996269941329956
114,9255,5,3,True,7339360.0,0.42099320888519287,5,0.993756890296936,5,0.9997619986534119
115,5425,1,2,True,4629216.0,0.2655365765094757,1,0.9884202480316162,1,0.9997336268424988
116,9855,2,4,True,14114080.0,0.8095980882644653,2,0.9086196422576904,2,0.9285861849784851
117,3182,4,4,True,14114080.0,0.8095980882644653,4,0.8883211016654968,4,0.9199962615966797
118,7291,5,2,True,4629216.0,0.2655365765094757,5,0.8534915447235107,5,0.9900702834129333
119,6939,1,1,True,1919392.0,0.11009829491376877,1,0.5361706018447876,1,0.9998559951782227
120,2111,1,3,True,7339360.0,0.42099320888519287,1,0.950793445110321,1,0.9985446929931641
121,3296,2,2,True,4629216.0,0.2655365765094757,2,0.7164087295532227,2,0.9905382394790649
122,3061,8,2,True,4629216.0,0.2655365765094757,8,0.7047144770622253,8,0.9978976249694824
123,9194,5,2,True,4629216.0,0.2655365765094757,5,0.7774742245674133,5,0.9966669678688049
124,2707,5,3,True,7339360.0,0.42099320888519287,5,0.8324813842773438,5,0.9956693649291992
125,3727,6,3,True,7339360.0,0.42099320888519287,6,0.901454746723175,6,0.9387915730476379
126,8232,4,3,True,7339360.0,0.42099320888519287,4,0.8993170261383057,4,0.928732693195343
