method,cap_mode,input_id,attack_index,generation,diversity
clpso,query,4,1,1,14.374002456665039
clpso,query,4,1,2,13.914674758911133
clpso,query,4,1,3,14.003277778625488
clpso,query,4,1,4,14.322484970092773
clpso,query,4,1,5,14.396044731140137
clpso,query,4,1,6,14.33757209777832
clpso,query,4,1,7,14.215801239013672
clpso,query,4,1,8,14.086209297180176
clpso,query,4,1,9,14.015487670898438
clpso,query,4,1,10,14.123795509338379
clpso,query,4,1,11,14.2540283203125
clpso,query,4,1,12,14.303448677062988
clpso,query,4,1,13,14.383441925048828
clpso,query,4,1,14,14.254715919494629
clpso,query,4,1,15,14.228829383850098
clpso,query,4,1,16,14.309864044189453
clpso,query,4,1,17,14.316985130310059
clpso,query,4,1,18,14.306940078735352
clpso,query,4,1,19,14.175763130187988
clpso,query,4,1,20,14.288124084472656
clpso,query,4,1,21,14.401286125183105
clpso,query,4,1,22,14.437234878540039
clpso,query,4,1,23,14.366365432739258
clpso,query,4,1,24,14.265425682067871
clpso,query,4,1,25,14.326403617858887
clpso,query,4,1,26,14.282054901123047
clpso,query,4,1,27,14.374345779418945
clpso,query,4,1,28,14.525903701782227
clpso,query,4,1,29,14.465298652648926
clpso,query,4,1,30,14.470344543457031
clpso,query,4,1,31,14.411386489868164
clpso,query,4,1,32,14.421365737915039
clpso,query,4,1,33,14.52664566040039
clpso,query,4,1,34,14.495055198669434
clpso,query,4,1,35,14.489615440368652
clpso,query,4,1,36,14.555740356445312
clpso,query,4,1,37,14.652156829833984
clpso,query,4,1,38,14.631412506103516
clpso,query,4,1,39,14.503923416137695
clpso,query,4,1,40,14.51292610168457
clpso,query,4,1,41,14.513193130493164
clpso,query,4,1,42,14.571907997131348
clpso,query,4,1,43,14.576652526855469
clpso,query,4,1,44,14.45371150970459
clpso,query,4,1,45,14.385111808776855
clpso,query,4,1,46,14.43933391571045
clpso,query,4,1,47,14.48493766784668
clpso,query,4,1,48,14.543303489685059
clpso,query,4,1,49,14.535544395446777
clpso,query,4,1,50,14.367918968200684
clpso,query,4,1,51,14.409387588500977
clpso,query,4,1,52,14.442730903625488
clpso,query,4,1,53,14.503442764282227
clpso,query,4,1,54,14.531726837158203
clpso,query,4,1,55,14.349613189697266
clpso,query,4,1,56,14.385821342468262
clpso,query,4,1,57,14.427538871765137
clpso,query,4,1,58,14.493706703186035
clpso,query,4,1,59,14.548645973205566
clpso,query,4,1,60,14.423677444458008
clpso,query,4,1,61,14.362327575683594
clpso,query,4,1,62,14.273965835571289
clpso,query,4,1,63,14.31632137298584
clpso,query,4,1,64,14.438526153564453
clpso,query,4,1,65,14.426332473754883
clpso,query,4,1,66,14.398781776428223
clpso,query,4,1,67,14.339483261108398
clpso,query,4,1,68,14.338932037353516
clpso,query,4,1,69,14.4642915725708
clpso,query,4,1,70,14.38416576385498
clpso,query,4,1,71,14.367856979370117
clpso,query,4,1,72,14.331327438354492
clpso,query,4,1,73,14.336633682250977
clpso,query,4,1,74,14.41919231414795
clpso,query,4,1,75,14.326190948486328
clpso,query,4,1,76,14.334781646728516
clpso,query,4,1,77,14.289673805236816
clpso,query,4,1,78,14.393457412719727
clpso,query,4,1,79,14.440291404724121
clpso,query,4,1,80,14.293473243713379
clpso,query,4,1,81,14.244475364685059
clpso,query,4,1,82,14.237457275390625
clpso,query,4,1,83,14.36317253112793
clpso,query,4,1,84,14.396646499633789
clpso,query,4,1,85,14.249947547912598
clpso,query,4,1,86,14.23855972290039
clpso,query,4,1,87,14.186647415161133
clpso,query,4,1,88,14.307921409606934
clpso,query,4,1,89,14.374563217163086
clpso,query,4,1,90,14.208470344543457
clpso,query,4,1,91,14.211021423339844
clpso,query,4,1,92,14.228924751281738
clpso,query,4,1,93,14.36791706085205
clpso,query,4,1,94,14.381389617919922
clpso,query,4,1,95,14.223215103149414
clpso,query,4,1,96,14.2584867477417
clpso,query,4,1,97,14.258552551269531
clpso,query,4,1,98,14.392178535461426
clpso,query,4,1,99,14.379562377929688
clpso,query,4,1,100,14.268016815185547
clpso,query,4,1,101,14.322460174560547
clpso,query,4,1,102,14.269262313842773
clpso,query,4,1,103,14.33155345916748
clpso,query,4,1,104,14.284034729003906
clpso,query,4,1,105,14.236432075500488
clpso,query,4,1,106,14.188179969787598
clpso,query,4,1,107,14.140985488891602
clpso,query,4,1,108,14.264202117919922
clpso,query,4,1,109,14.310729026794434
clpso,query,4,1,110,14.249876022338867
clpso,query,4,1,111,14.232508659362793
clpso,query,4,1,112,14.174007415771484
clpso,query,4,1,113,14.216787338256836
clpso,query,4,1,114,14.228617668151855
clpso,query,4,1,115,14.237970352172852
clpso,query,4,1,116,14.245311737060547
clpso,query,4,1,117,14.155196189880371
clpso,query,4,1,118,14.173500061035156
clpso,query,4,1,119,14.202386856079102
clpso,query,4,1,120,14.245054244995117
clpso,query,4,1,121,14.276565551757812
clpso,query,4,1,122,14.16675090789795
clpso,query,4,1,123,14.144391059875488
clpso,query,4,1,124,14.15428638458252
clpso,query,4,1,125,14.228360176086426
clpso,query,4,1,126,14.204773902893066
clpso,query,4,1,127,13.989961624145508
clpso,query,4,1,128,14.098404884338379
clpso,query,4,1,129,14.160726547241211
clpso,query,4,1,130,14.223047256469727
clpso,query,4,1,131,14.12743854522705
clpso,query,4,1,132,13.943283081054688
clpso,query,4,1,133,14.085084915161133
clpso,query,4,1,134,14.137643814086914
clpso,query,4,1,135,14.204045295715332
clpso,query,4,1,136,14.137528419494629
clpso,query,4,1,137,13.905077934265137
clpso,query,4,1,138,13.99277400970459
clpso,query,4,1,139,14.036100387573242
clpso,query,4,1,140,14.106513023376465
clpso,query,4,1,141,14.077213287353516
clpso,query,4,1,142,13.898823738098145
clpso,query,4,1,143,14.011691093444824
clpso,query,4,1,144,14.045103073120117
clpso,query,4,1,145,14.119028091430664
clpso,query,4,1,146,14.147897720336914
clpso,query,4,1,147,13.887557983398438
clpso,query,4,1,148,13.952213287353516
clpso,query,4,1,149,14.016997337341309
clpso,query,4,1,150,14.085821151733398
clpso,query,4,1,151,14.127063751220703
clpso,query,4,1,152,13.84627628326416
clpso,query,4,1,153,13.92595386505127
clpso,query,4,1,154,14.041014671325684
clpso,query,4,1,155,14.127531051635742
clpso,query,4,1,156,14.143492698669434
clpso,query,4,1,157,13.832622528076172
clpso,query,4,1,158,13.84463119506836
clpso,query,4,1,159,13.949031829833984
clpso,query,4,1,160,14.047821998596191
clpso,query,4,1,161,14.093478202819824
clpso,query,4,1,162,13.832864761352539
clpso,query,4,1,163,13.879508972167969
clpso,query,4,1,164,13.974544525146484
clpso,query,4,1,165,14.033905029296875
clpso,query,4,1,166,14.06265926361084
clpso,query,4,1,167,13.83456039428711
clpso,query,4,1,168,13.844350814819336
