method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
clpso,wall_clock,4,1,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,3696,3.7723360419622622,1.5729928016662598
clpso,wall_clock,4,2,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,3696,3.786181041970849,1.5858296155929565
clpso,wall_clock,4,3,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,3696,3.782101040997077,1.522773027420044
clpso,wall_clock,4,4,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,3672,3.773949750000611,1.4521620273590088
clpso,wall_clock,4,5,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,3768,3.7888685829821043,1.5535101890563965
clpso,wall_clock,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3648,3.774242707993835,1.5716378688812256
clpso,wall_clock,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3768,3.782839833002072,1.538798451423645
clpso,wall_clock,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3768,3.7882289590197615,1.6058977842330933
clpso,wall_clock,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3696,3.782180458016228,1.6657931804656982
clpso,wall_clock,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,3696,3.776803667016793,1.5988517999649048
clpso,wall_clock,8,1,789,7,2,True,4629216.0,3,1,True,False,,7339360.0,0.42099320888519287,2952,3.772408208984416,1.9923535585403442
clpso,wall_clock,8,2,789,7,2,True,4629216.0,3,1,True,False,,7339360.0,0.42099320888519287,2952,3.7768399590277113,1.8245341777801514
clpso,wall_clock,8,3,789,7,2,True,4629216.0,3,1,True,False,,7339360.0,0.42099320888519287,2928,3.788582250010222,2.0358469486236572
clpso,wall_clock,8,4,789,7,2,True,4629216.0,3,1,True,False,,7339360.0,0.42099320888519287,2976,3.7981729159946553,1.9541959762573242
clpso,wall_clock,8,5,789,7,2,True,4629216.0,3,1,True,False,,7339360.0,0.42099320888519287,2952,3.7895156670128927,1.9422825574874878
clpso,wall_clock,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2376,3.776289541972801,2.0468578338623047
clpso,wall_clock,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2544,3.774908958002925,1.8750474452972412
clpso,wall_clock,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2496,3.796309957979247,2.0292797088623047
clpso,wall_clock,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2712,3.805941290978808,2.144609212875366
clpso,wall_clock,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,2880,3.7943686670041643,1.9216283559799194
clpso,wall_clock,13,1,2202,4,4,True,14114080.0,4,0,True,False,,14114080.0,0.8095980882644653,2904,3.786306665977463,1.815321445465088
clpso,wall_clock,13,2,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,3648,3.775150124973152,1.7533042430877686
clpso,wall_clock,13,3,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,3816,3.775241833005566,1.6970092058181763
clpso,wall_clock,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,3768,3.78977054101415,1.7956210374832153
clpso,wall_clock,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,3792,3.7886309580062516,1.794862151145935
