method,cap_mode,input_id,attack_index,generation,diversity
genetic,query,4,1,1,14.386788368225098
genetic,query,4,1,2,14.337708473205566
genetic,query,4,1,3,14.56291675567627
genetic,query,4,1,4,14.584091186523438
genetic,query,4,1,5,14.490960121154785
genetic,query,4,1,6,14.556589126586914
genetic,query,4,1,7,14.183110237121582
genetic,query,4,1,8,13.99763011932373
genetic,query,4,1,9,13.590272903442383
genetic,query,4,1,10,13.27071475982666
genetic,query,4,1,11,12.938672065734863
genetic,query,4,1,12,13.362022399902344
genetic,query,4,1,13,13.28061580657959
genetic,query,4,1,14,12.847004890441895
genetic,query,4,1,15,12.88682746887207
genetic,query,4,1,16,12.940277099609375
genetic,query,4,1,17,13.008755683898926
genetic,query,4,1,18,13.24251651763916
genetic,query,4,1,19,13.29550552368164
genetic,query,4,1,20,13.40273666381836
genetic,query,4,1,21,13.512784004211426
genetic,query,4,1,22,13.43876838684082
genetic,query,4,1,23,13.579185485839844
genetic,query,4,1,24,13.112826347351074
genetic,query,4,1,25,13.341585159301758
genetic,query,4,1,26,13.473257064819336
genetic,query,4,1,27,13.074413299560547
genetic,query,4,1,28,13.237495422363281
genetic,query,4,1,29,13.288508415222168
genetic,query,4,1,30,13.169010162353516
genetic,query,4,1,31,13.027867317199707
genetic,query,4,1,32,12.780542373657227
genetic,query,4,1,33,12.77253532409668
genetic,query,4,1,34,12.977337837219238
genetic,query,4,1,35,13.004015922546387
genetic,query,4,1,36,13.069164276123047
genetic,query,4,1,37,12.865120887756348
genetic,query,4,1,38,12.817511558532715
genetic,query,4,1,39,13.093506813049316
genetic,query,4,1,40,13.039527893066406
genetic,query,4,1,41,12.802580833435059
genetic,query,4,1,42,12.629169464111328
genetic,query,4,1,43,12.69772720336914
genetic,query,4,1,44,12.731377601623535
genetic,query,4,1,45,13.008137702941895
genetic,query,4,1,46,12.819018363952637
genetic,query,4,1,47,13.040807723999023
genetic,query,4,1,48,12.878644943237305
genetic,query,4,1,49,13.117904663085938
genetic,query,4,1,50,12.969531059265137
genetic,query,4,1,51,13.092757225036621
