method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
genetic,query,4,1,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.341233833984006,2.1135976314544678
genetic,query,4,2,913,5,1,True,1919392.0,5,4,True,True,72.0,17433440.0,1.0,4800,3.333727374963928,2.041663885116577
genetic,query,4,3,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,4800,3.3059293330297805,2.005685329437256
genetic,query,4,4,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,4800,3.3037425419897772,2.032458782196045
genetic,query,4,5,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.285387540992815,2.0178611278533936
genetic,query,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.316670708009042,2.024177312850952
genetic,query,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.2796213749679737,1.9999408721923828
genetic,query,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.338015416986309,2.012012481689453
genetic,query,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.227815082995221,2.079859972000122
genetic,query,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.312845458043739,2.0676114559173584
genetic,query,8,1,789,7,2,True,4629216.0,5,3,True,True,144.0,17433440.0,1.0,4800,3.364171167020686,2.1741034984588623
genetic,query,8,2,789,7,2,True,4629216.0,5,3,True,True,216.0,17433440.0,1.0,4800,3.4097565839765593,2.2190802097320557
genetic,query,8,3,789,7,2,True,4629216.0,5,3,True,True,192.0,17433440.0,1.0,4800,3.419165625004098,2.200838804244995
genetic,query,8,4,789,7,2,True,4629216.0,5,3,True,True,216.0,17433440.0,1.0,4800,3.4083974580280483,2.201456308364868
genetic,query,8,5,789,7,2,True,4629216.0,5,3,True,True,216.0,17433440.0,1.0,4800,3.4040997920092195,2.2715678215026855
genetic,query,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.006919165956788,2.3090295791625977
genetic,query,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.006610959011596,2.358037233352661
genetic,query,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.090759167040233,2.300062894821167
genetic,query,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,4.971262666978873,2.2304813861846924
genetic,query,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,4.9078672920004465,2.273573398590088
genetic,query,13,1,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.255926374986302,2.206606149673462
genetic,query,13,2,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.3166905000107363,2.2370574474334717
genetic,query,13,3,2202,4,4,True,14114080.0,5,1,True,True,312.0,17433440.0,1.0,4800,3.3584704999811947,2.2362520694732666
genetic,query,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.2067081249551848,2.207115888595581
genetic,query,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.322190665989183,2.202040195465088
