method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
genetic,wall_clock,4,1,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.2943007920403033,2.1135976314544678
genetic,wall_clock,4,2,913,5,1,True,1919392.0,5,4,True,True,72.0,17433440.0,1.0,4800,3.319212541973684,2.041663885116577
genetic,wall_clock,4,3,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,4800,3.2869558749953285,2.005685329437256
genetic,wall_clock,4,4,913,5,1,True,1919392.0,5,4,True,True,24.0,17433440.0,1.0,4800,3.067671541997697,2.032458782196045
genetic,wall_clock,4,5,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.0767466250108555,2.0178611278533936
genetic,wall_clock,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.121449208003469,2.024177312850952
genetic,wall_clock,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.281279415998142,1.9999408721923828
genetic,wall_clock,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.317177874967456,2.012012481689453
genetic,wall_clock,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.262012917024549,2.079859972000122
genetic,wall_clock,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.320936082978733,2.0676114559173584
genetic,wall_clock,8,1,789,7,2,True,4629216.0,5,3,True,True,144.0,17433440.0,1.0,4800,3.343589249998331,2.1741034984588623
genetic,wall_clock,8,2,789,7,2,True,4629216.0,5,3,True,True,216.0,17433440.0,1.0,4800,3.404191459005233,2.2190802097320557
genetic,wall_clock,8,3,789,7,2,True,4629216.0,5,3,True,True,192.0,17433440.0,1.0,4800,3.3905438329675235,2.200838804244995
genetic,wall_clock,8,4,789,7,2,True,4629216.0,5,3,True,True,216.0,17433440.0,1.0,4800,3.4227004590211436,2.201456308364868
genetic,wall_clock,8,5,789,7,2,True,4629216.0,5,3,True,True,216.0,17433440.0,1.0,4800,3.4074799590162,2.2715678215026855
genetic,wall_clock,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3624,3.7778020830010064,2.333691120147705
genetic,wall_clock,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3624,3.7722357909660786,2.4230315685272217
genetic,wall_clock,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3648,3.7835312910028733,2.2903943061828613
genetic,wall_clock,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3768,3.7764957919716835,2.2725813388824463
genetic,wall_clock,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3648,3.796180874982383,2.2756600379943848
genetic,wall_clock,13,1,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.309249749989249,2.206606149673462
genetic,wall_clock,13,2,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.335973125009332,2.2370574474334717
genetic,wall_clock,13,3,2202,4,4,True,14114080.0,5,1,True,True,312.0,17433440.0,1.0,4800,3.4072585410322063,2.2362520694732666
genetic,wall_clock,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.307974416005891,2.207115888595581
genetic,wall_clock,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.3108296670252457,2.202040195465088
