method,cap_mode,input_id,attack_index,generation,diversity
pso,query,4,1,1,14.24605655670166
pso,query,4,1,2,9.365689277648926
pso,query,4,1,3,5.921950340270996
pso,query,4,1,4,5.431999206542969
pso,query,4,1,5,5.18850040435791
pso,query,4,1,6,4.691039085388184
pso,query,4,1,7,4.688836097717285
pso,query,4,1,8,4.644522190093994
pso,query,4,1,9,4.183374881744385
pso,query,4,1,10,4.002015590667725
pso,query,4,1,11,3.702007293701172
pso,query,4,1,12,3.846755027770996
pso,query,4,1,13,3.510322332382202
pso,query,4,1,14,3.7273755073547363
pso,query,4,1,15,3.693471908569336
pso,query,4,1,16,3.8748116493225098
pso,query,4,1,17,3.9709317684173584
pso,query,4,1,18,3.860980987548828
pso,query,4,1,19,3.9132728576660156
pso,query,4,1,20,3.9498021602630615
pso,query,4,1,21,4.102270126342773
pso,query,4,1,22,3.8410141468048096
pso,query,4,1,23,3.7731311321258545
pso,query,4,1,24,3.6439614295959473
pso,query,4,1,25,3.594594955444336
pso,query,4,1,26,3.6530895233154297
pso,query,4,1,27,3.7072176933288574
pso,query,4,1,28,3.5033905506134033
pso,query,4,1,29,3.4317357540130615
pso,query,4,1,30,3.4895763397216797
pso,query,4,1,31,3.6160848140716553
pso,query,4,1,32,3.686333179473877
pso,query,4,1,33,3.3929550647735596
pso,query,4,1,34,3.254488229751587
pso,query,4,1,35,3.3007471561431885
pso,query,4,1,36,3.4135327339172363
pso,query,4,1,37,3.553406000137329
pso,query,4,1,38,3.5387988090515137
pso,query,4,1,39,3.51945424079895
pso,query,4,1,40,3.659180164337158
pso,query,4,1,41,3.698848009109497
pso,query,4,1,42,3.5433311462402344
pso,query,4,1,43,3.6246390342712402
pso,query,4,1,44,3.5678563117980957
pso,query,4,1,45,3.5631790161132812
pso,query,4,1,46,3.677429437637329
pso,query,4,1,47,3.3977906703948975
pso,query,4,1,48,3.6288907527923584
pso,query,4,1,49,3.646357297897339
pso,query,4,1,50,3.5598411560058594
pso,query,4,1,51,3.541412115097046
pso,query,4,1,52,3.5014023780822754
pso,query,4,1,53,3.4180562496185303
pso,query,4,1,54,3.359697103500366
pso,query,4,1,55,3.461381196975708
pso,query,4,1,56,3.481100559234619
pso,query,4,1,57,3.43949556350708
pso,query,4,1,58,3.3175249099731445
pso,query,4,1,59,3.280364990234375
pso,query,4,1,60,3.2610700130462646
pso,query,4,1,61,3.3055992126464844
pso,query,4,1,62,3.37640118598938
pso,query,4,1,63,3.2598063945770264
pso,query,4,1,64,3.3516557216644287
pso,query,4,1,65,3.3244924545288086
pso,query,4,1,66,3.364389419555664
pso,query,4,1,67,3.3496768474578857
pso,query,4,1,68,3.242117166519165
pso,query,4,1,69,3.3919949531555176
pso,query,4,1,70,3.138575792312622
pso,query,4,1,71,3.205982208251953
pso,query,4,1,72,3.4561550617218018
pso,query,4,1,73,3.331908702850342
pso,query,4,1,74,3.232574462890625
pso,query,4,1,75,3.3620221614837646
pso,query,4,1,76,3.2352564334869385
pso,query,4,1,77,3.530935525894165
pso,query,4,1,78,3.5299477577209473
pso,query,4,1,79,3.5683095455169678
pso,query,4,1,80,3.6526122093200684
pso,query,4,1,81,3.6357815265655518
pso,query,4,1,82,3.6035540103912354
pso,query,4,1,83,3.5623345375061035
pso,query,4,1,84,3.6214840412139893
pso,query,4,1,85,3.3920209407806396
pso,query,4,1,86,3.5682084560394287
pso,query,4,1,87,3.560992479324341
pso,query,4,1,88,3.495476722717285
pso,query,4,1,89,3.6580166816711426
pso,query,4,1,90,3.489651918411255
pso,query,4,1,91,3.5856711864471436
pso,query,4,1,92,3.5563929080963135
pso,query,4,1,93,3.43904972076416
pso,query,4,1,94,3.5761733055114746
pso,query,4,1,95,3.4182591438293457
pso,query,4,1,96,3.4183757305145264
pso,query,4,1,97,3.431755781173706
pso,query,4,1,98,3.443051338195801
pso,query,4,1,99,3.5412018299102783
pso,query,4,1,100,3.4553184509277344
pso,query,4,1,101,3.3219101428985596
pso,query,4,1,102,3.260169506072998
pso,query,4,1,103,3.3435897827148438
pso,query,4,1,104,3.4086849689483643
pso,query,4,1,105,3.3612496852874756
pso,query,4,1,106,3.1296703815460205
pso,query,4,1,107,3.0698888301849365
pso,query,4,1,108,3.185593605041504
pso,query,4,1,109,3.293689250946045
pso,query,4,1,110,3.2335431575775146
pso,query,4,1,111,3.1343512535095215
pso,query,4,1,112,3.1432199478149414
pso,query,4,1,113,3.143812894821167
pso,query,4,1,114,3.1081814765930176
pso,query,4,1,115,3.2969837188720703
pso,query,4,1,116,3.0092105865478516
pso,query,4,1,117,3.120166540145874
pso,query,4,1,118,3.240440845489502
pso,query,4,1,119,3.2432641983032227
pso,query,4,1,120,3.3586905002593994
pso,query,4,1,121,3.168020248413086
pso,query,4,1,122,3.1757454872131348
pso,query,4,1,123,3.2170310020446777
pso,query,4,1,124,3.246070623397827
pso,query,4,1,125,3.156888246536255
pso,query,4,1,126,3.104749917984009
pso,query,4,1,127,3.2204196453094482
pso,query,4,1,128,3.2369768619537354
pso,query,4,1,129,3.2176239490509033
pso,query,4,1,130,3.2012596130371094
pso,query,4,1,131,3.0155704021453857
pso,query,4,1,132,3.3564484119415283
pso,query,4,1,133,3.3183584213256836
pso,query,4,1,134,3.4923603534698486
pso,query,4,1,135,3.3568317890167236
pso,query,4,1,136,3.350454092025757
pso,query,4,1,137,3.4708633422851562
pso,query,4,1,138,3.4436540603637695
pso,query,4,1,139,3.561727285385132
pso,query,4,1,140,3.464200496673584
pso,query,4,1,141,3.4055962562561035
pso,query,4,1,142,3.4925003051757812
pso,query,4,1,143,3.5075204372406006
pso,query,4,1,144,3.4577176570892334
pso,query,4,1,145,3.5177078247070312
pso,query,4,1,146,3.395597219467163
pso,query,4,1,147,3.446638584136963
pso,query,4,1,148,3.5029375553131104
pso,query,4,1,149,3.4252846240997314
pso,query,4,1,150,3.4202873706817627
pso,query,4,1,151,3.4405617713928223
pso,query,4,1,152,3.4246532917022705
pso,query,4,1,153,3.354036331176758
pso,query,4,1,154,3.2505922317504883
pso,query,4,1,155,3.279810905456543
pso,query,4,1,156,3.306295394897461
pso,query,4,1,157,3.438552141189575
pso,query,4,1,158,3.271071195602417
pso,query,4,1,159,3.2692651748657227
pso,query,4,1,160,3.347137212753296
pso,query,4,1,161,3.331324338912964
pso,query,4,1,162,3.2323105335235596
pso,query,4,1,163,3.2559902667999268
pso,query,4,1,164,3.334867000579834
pso,query,4,1,165,3.4290542602539062
pso,query,4,1,166,3.3925716876983643
pso,query,4,1,167,3.2711987495422363
pso,query,4,1,168,3.3147542476654053
pso,query,4,1,169,3.2632508277893066
pso,query,4,1,170,3.2236549854278564
pso,query,4,1,171,3.156163215637207
pso,query,4,1,172,2.986787796020508
pso,query,4,1,173,2.981492280960083
pso,query,4,1,174,3.0604989528656006
pso,query,4,1,175,3.0428266525268555
pso,query,4,1,176,3.0901622772216797
pso,query,4,1,177,2.925001621246338
pso,query,4,1,178,2.9540557861328125
pso,query,4,1,179,3.012688636779785
pso,query,4,1,180,2.963911533355713
pso,query,4,1,181,2.9265177249908447
pso,query,4,1,182,2.7964630126953125
pso,query,4,1,183,2.8643317222595215
pso,query,4,1,184,2.725719928741455
pso,query,4,1,185,2.875844717025757
pso,query,4,1,186,2.825800895690918
pso,query,4,1,187,2.8150765895843506
pso,query,4,1,188,2.806635618209839
pso,query,4,1,189,2.7711172103881836
pso,query,4,1,190,2.7904207706451416
pso,query,4,1,191,2.73884916305542
pso,query,4,1,192,2.6822094917297363
pso,query,4,1,193,2.691474199295044
pso,query,4,1,194,2.7189366817474365
pso,query,4,1,195,2.7045326232910156
pso,query,4,1,196,2.596501350402832
pso,query,4,1,197,2.6336143016815186
pso,query,4,1,198,2.62341570854187
pso,query,4,1,199,2.6368935108184814
pso,query,4,1,200,2.6714093685150146
pso,query,4,2,1,14.417021751403809
pso,query,4,2,2,9.472688674926758
pso,query,4,2,3,5.99193000793457
pso,query,4,2,4,5.650086879730225
pso,query,4,2,5,5.496483325958252
pso,query,4,2,6,5.4626617431640625
pso,query,4,2,7,4.945356845855713
pso,query,4,2,8,4.977383613586426
pso,query,4,2,9,4.4728240966796875
pso,query,4,2,10,4.587955474853516
pso,query,4,2,11,4.718583583831787
pso,query,4,2,12,4.106292724609375
pso,query,4,2,13,3.8236336708068848
pso,query,4,2,14,3.5137882232666016
pso,query,4,2,15,3.6137819290161133
pso,query,4,2,16,3.9058573246002197
pso,query,4,2,17,3.7714548110961914
pso,query,4,2,18,3.3938610553741455
pso,query,4,2,19,3.1873831748962402
pso,query,4,2,20,3.2109766006469727
pso,query,4,2,21,3.0921080112457275
pso,query,4,2,22,3.3586249351501465
pso,query,4,2,23,3.4674031734466553
pso,query,4,2,24,3.4745607376098633
pso,query,4,2,25,3.438216209411621
pso,query,4,2,26,3.3012986183166504
pso,query,4,2,27,3.2141940593719482
pso,query,4,2,28,2.997096061706543
pso,query,4,2,29,2.965327739715576
pso,query,4,2,30,2.876425266265869
pso,query,4,2,31,2.7750086784362793
pso,query,4,2,32,2.8291804790496826
pso,query,4,2,33,2.791973829269409
pso,query,4,2,34,2.972477436065674
pso,query,4,2,35,3.0018599033355713
pso,query,4,2,36,2.8370590209960938
pso,query,4,2,37,2.8973374366760254
pso,query,4,2,38,2.8870127201080322
pso,query,4,2,39,2.877572774887085
pso,query,4,2,40,2.8745460510253906
pso,query,4,2,41,2.868177652359009
pso,query,4,2,42,2.870100975036621
pso,query,4,2,43,2.7690696716308594
pso,query,4,2,44,2.703817844390869
pso,query,4,2,45,2.803751230239868
pso,query,4,2,46,2.882103443145752
pso,query,4,2,47,2.8886682987213135
pso,query,4,2,48,2.8789045810699463
pso,query,4,2,49,2.9468300342559814
pso,query,4,2,50,2.957092046737671
pso,query,4,2,51,3.023535966873169
pso,query,4,2,52,2.8707191944122314
pso,query,4,2,53,3.0361809730529785
pso,query,4,2,54,2.9199321269989014
pso,query,4,2,55,3.0757386684417725
pso,query,4,2,56,3.1323719024658203
pso,query,4,2,57,3.0515971183776855
pso,query,4,2,58,3.1233153343200684
pso,query,4,2,59,3.1666884422302246
pso,query,4,2,60,3.135435104370117
pso,query,4,2,61,3.0637612342834473
pso,query,4,2,62,2.9484658241271973
pso,query,4,2,63,2.762707471847534
pso,query,4,2,64,2.6538326740264893
pso,query,4,2,65,2.85068416595459
pso,query,4,2,66,2.8236448764801025
pso,query,4,2,67,2.6999709606170654
pso,query,4,2,68,2.7204537391662598
pso,query,4,2,69,2.7473998069763184
pso,query,4,2,70,2.6276588439941406
pso,query,4,2,71,2.5970027446746826
pso,query,4,2,72,2.600297451019287
pso,query,4,2,73,2.5292136669158936
pso,query,4,2,74,2.6691253185272217
pso,query,4,2,75,2.6650238037109375
pso,query,4,2,76,2.5213067531585693
pso,query,4,2,77,2.414684534072876
pso,query,4,2,78,2.357999324798584
pso,query,4,2,79,2.404100179672241
pso,query,4,2,80,2.486724853515625
pso,query,4,2,81,2.333895206451416
pso,query,4,2,82,2.383497953414917
pso,query,4,2,83,2.468475580215454
pso,query,4,2,84,2.477215528488159
pso,query,4,2,85,2.4989452362060547
pso,query,4,2,86,2.42461895942688
pso,query,4,2,87,2.263282060623169
pso,query,4,2,88,2.297889471054077
pso,query,4,2,89,2.251314163208008
pso,query,4,2,90,2.3030145168304443
pso,query,4,2,91,2.204390048980713
pso,query,4,2,92,2.186647891998291
pso,query,4,2,93,2.2264039516448975
pso,query,4,2,94,2.217111587524414
pso,query,4,2,95,2.186098098754883
pso,query,4,2,96,2.0987534523010254
pso,query,4,2,97,2.0496652126312256
pso,query,4,2,98,2.1067099571228027
pso,query,4,2,99,2.1629700660705566
pso,query,4,2,100,2.100660800933838
pso,query,4,2,101,2.0829787254333496
pso,query,4,2,102,2.065237045288086
pso,query,4,2,103,2.0592000484466553
pso,query,4,2,104,1.9894344806671143
pso,query,4,2,105,1.8083058595657349
pso,query,4,2,106,1.8817540407180786
pso,query,4,2,107,2.0127646923065186
pso,query,4,2,108,2.0037384033203125
pso,query,4,2,109,1.992972493171692
pso,query,4,2,110,1.956390142440796
pso,query,4,2,111,1.915242314338684
pso,query,4,2,112,1.8652408123016357
pso,query,4,2,113,1.8381837606430054
pso,query,4,2,114,1.8331619501113892
pso,query,4,2,115,1.8436683416366577
pso,query,4,2,116,1.7314808368682861
pso,query,4,2,117,1.8111836910247803
pso,query,4,2,118,1.8871681690216064
pso,query,4,2,119,2.0590429306030273
pso,query,4,2,120,2.0677056312561035
pso,query,4,2,121,2.061896562576294
pso,query,4,2,122,2.1969079971313477
pso,query,4,2,123,2.1352462768554688
pso,query,4,2,124,2.302138566970825
pso,query,4,2,125,2.201777458190918
pso,query,4,2,126,2.3052895069122314
pso,query,4,2,127,2.364675283432007
pso,query,4,2,128,2.3916656970977783
pso,query,4,2,129,2.380028486251831
pso,query,4,2,130,2.355926275253296
pso,query,4,2,131,2.4454100131988525
pso,query,4,2,132,2.365927219390869
pso,query,4,2,133,2.2645821571350098
pso,query,4,2,134,2.3112504482269287
pso,query,4,2,135,2.2528371810913086
pso,query,4,2,136,2.248189687728882
pso,query,4,2,137,2.24019718170166
pso,query,4,2,138,2.107036828994751
