method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
pso,query,4,1,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.5591287079732865,1.5051668882369995
pso,query,4,2,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.5048482500133105,1.9693598747253418
pso,query,4,3,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.6332964170142077,1.7063690423965454
pso,query,4,4,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.5548032500082627,1.6598711013793945
pso,query,4,5,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.518909665988758,1.5878806114196777
pso,query,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.4752860410371795,1.8316965103149414
pso,query,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.0222809159895405,1.795878291130066
pso,query,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.175713500007987,2.1124203205108643
pso,query,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.056433250021655,1.994774580001831
pso,query,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,2.892169750004541,1.9468352794647217
pso,query,8,1,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,4.576528915960807,2.35636830329895
pso,query,8,2,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,4.9375201660441235,2.310941457748413
pso,query,8,3,789,7,2,True,4629216.0,5,3,True,True,264.0,17433440.0,1.0,4800,3.215062667033635,2.387503147125244
pso,query,8,4,789,7,2,True,4629216.0,5,3,True,True,240.0,17433440.0,1.0,4800,3.121841416985262,2.464256525039673
pso,query,8,5,789,7,2,True,4629216.0,5,3,True,True,264.0,17433440.0,1.0,4800,3.460957583039999,2.4452037811279297
pso,query,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.184887459035963,2.775718927383423
pso,query,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,4.864306500006933,1.8800908327102661
pso,query,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,4.782980416959617,2.5221123695373535
pso,query,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.073754833021667,2.7304182052612305
pso,query,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.122195458970964,2.6979305744171143
pso,query,13,1,2202,4,4,True,14114080.0,4,0,True,False,,14114080.0,0.8095980882644653,4800,5.026439332985319,2.6741209030151367
pso,query,13,2,2202,4,4,True,14114080.0,4,0,True,False,,14114080.0,0.8095980882644653,4800,4.960455874970648,2.645651340484619
pso,query,13,3,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.2469329169834964,2.4325294494628906
pso,query,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.368381666019559,2.3278937339782715
pso,query,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.097177500021644,2.3464088439941406
