method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
pso,wall_clock,4,1,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.2657983750104904,1.5051668882369995
pso,wall_clock,4,2,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.3069527089828625,1.9693598747253418
pso,wall_clock,4,3,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.190401458006818,1.7063690423965454
pso,wall_clock,4,4,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.230909999983851,1.6598711013793945
pso,wall_clock,4,5,913,5,1,True,1919392.0,5,4,True,True,48.0,17433440.0,1.0,4800,3.241484500002116,1.5878806114196777
pso,wall_clock,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.336267583013978,1.8316965103149414
pso,wall_clock,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.139430125011131,1.795878291130066
pso,wall_clock,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,2.8827822920284234,2.1124203205108643
pso,wall_clock,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.2619534580153413,1.994774580001831
pso,wall_clock,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,2.9960118329618126,1.9468352794647217
pso,wall_clock,8,1,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3888,3.783161207975354,2.3521735668182373
pso,wall_clock,8,2,789,7,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3672,3.7790456660441123,2.294532060623169
pso,wall_clock,8,3,789,7,2,True,4629216.0,5,3,True,True,264.0,17433440.0,1.0,4800,3.4099535839632154,2.387503147125244
pso,wall_clock,8,4,789,7,2,True,4629216.0,5,3,True,True,240.0,17433440.0,1.0,4800,3.1188936670077965,2.464256525039673
pso,wall_clock,8,5,789,7,2,True,4629216.0,5,3,True,True,264.0,17433440.0,1.0,4800,3.08683383296011,2.4452037811279297
pso,wall_clock,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3888,3.7886182499933057,2.7507927417755127
pso,wall_clock,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3816,3.786583083041478,1.8669236898422241
pso,wall_clock,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3840,3.7915181660209782,2.498575448989868
pso,wall_clock,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3672,3.7911652919719927,2.7250585556030273
pso,wall_clock,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3696,3.794438791985158,2.65804386138916
pso,wall_clock,13,1,2202,4,4,True,14114080.0,4,0,True,False,,14114080.0,0.8095980882644653,3840,3.772068790975027,2.6734325885772705
pso,wall_clock,13,2,2202,4,4,True,14114080.0,4,0,True,False,,14114080.0,0.8095980882644653,3840,3.7831044999766164,2.64333438873291
pso,wall_clock,13,3,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,2.832942750013899,2.4325294494628906
pso,wall_clock,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,2.8526617499883287,2.3278937339782715
pso,wall_clock,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,2.925678333034739,2.3464088439941406
