method,cap_mode,input_id,attack_index,generation,diversity
random,query,4,1,1,14.421476364135742
random,query,4,1,2,14.421476364135742
random,query,4,1,3,14.299017906188965
random,query,4,1,4,14.5084810256958
random,query,4,1,5,14.291759490966797
random,query,4,1,6,14.25057315826416
random,query,4,1,7,14.371415138244629
random,query,4,1,8,14.359251976013184
random,query,4,1,9,14.395833015441895
random,query,4,1,10,14.30529499053955
random,query,4,1,11,14.303550720214844
random,query,4,1,12,14.276103973388672
random,query,4,1,13,14.351949691772461
random,query,4,1,14,14.320920944213867
random,query,4,1,15,14.40140438079834
random,query,4,1,16,14.26866340637207
random,query,4,1,17,14.450589179992676
random,query,4,1,18,14.413846015930176
random,query,4,1,19,14.367786407470703
random,query,4,1,20,14.210487365722656
random,query,4,1,21,14.336085319519043
random,query,4,1,22,14.410370826721191
random,query,4,1,23,14.293829917907715
random,query,4,1,24,14.373263359069824
random,query,4,1,25,14.387749671936035
random,query,4,1,26,14.308643341064453
random,query,4,1,27,14.291489601135254
random,query,4,1,28,14.214160919189453
random,query,4,1,29,14.355006217956543
random,query,4,1,30,14.268624305725098
random,query,4,1,31,14.424735069274902
random,query,4,1,32,14.233046531677246
random,query,4,1,33,14.292455673217773
random,query,4,1,34,14.446837425231934
random,query,4,1,35,14.237062454223633
random,query,4,1,36,14.376925468444824
random,query,4,1,37,14.33505630493164
random,query,4,1,38,14.370165824890137
random,query,4,1,39,14.475640296936035
random,query,4,1,40,14.307915687561035
random,query,4,1,41,14.33149242401123
random,query,4,1,42,14.256128311157227
random,query,4,1,43,14.340529441833496
random,query,4,1,44,14.387855529785156
random,query,4,1,45,14.263888359069824
random,query,4,1,46,14.25643253326416
random,query,4,1,47,14.257901191711426
random,query,4,1,48,14.250033378601074
random,query,4,1,49,14.427563667297363
random,query,4,1,50,14.302447319030762
random,query,4,1,51,14.28453540802002
random,query,4,1,52,14.330095291137695
random,query,4,1,53,14.477106094360352
random,query,4,1,54,14.283629417419434
random,query,4,1,55,14.256129264831543
random,query,4,1,56,14.287837028503418
random,query,4,1,57,14.405892372131348
random,query,4,1,58,14.442512512207031
random,query,4,1,59,14.313959121704102
random,query,4,1,60,14.361525535583496
random,query,4,1,61,14.277393341064453
random,query,4,1,62,14.308708190917969
random,query,4,1,63,14.283447265625
random,query,4,1,64,14.299288749694824
random,query,4,1,65,14.275861740112305
random,query,4,1,66,14.366307258605957
random,query,4,1,67,14.393872261047363
random,query,4,1,68,14.267955780029297
random,query,4,1,69,14.337214469909668
random,query,4,1,70,14.464593887329102
random,query,4,1,71,14.255825996398926
random,query,4,1,72,14.232565879821777
random,query,4,1,73,14.395129203796387
random,query,4,1,74,14.30220890045166
random,query,4,1,75,14.315899848937988
random,query,4,1,76,14.277548789978027
random,query,4,1,77,14.382915496826172
random,query,4,1,78,14.2551851272583
random,query,4,1,79,14.417805671691895
random,query,4,1,80,14.360701560974121
random,query,4,1,81,14.313186645507812
random,query,4,1,82,14.463791847229004
random,query,4,1,83,14.323393821716309
random,query,4,1,84,14.27401065826416
random,query,4,1,85,14.216057777404785
random,query,4,1,86,14.345354080200195
random,query,4,1,87,14.340779304504395
random,query,4,1,88,14.353043556213379
random,query,4,1,89,14.25725269317627
random,query,4,1,90,14.23951530456543
random,query,4,1,91,14.216023445129395
random,query,4,1,92,14.403667449951172
random,query,4,1,93,14.349145889282227
random,query,4,1,94,14.308944702148438
random,query,4,1,95,14.304656028747559
random,query,4,1,96,14.328751564025879
random,query,4,1,97,14.298648834228516
random,query,4,1,98,14.310160636901855
random,query,4,1,99,14.304296493530273
random,query,4,1,100,14.260168075561523
random,query,4,1,101,14.333352088928223
random,query,4,1,102,14.32043170928955
random,query,4,1,103,14.418900489807129
random,query,4,1,104,14.306403160095215
random,query,4,1,105,14.445137977600098
random,query,4,1,106,14.42562198638916
random,query,4,1,107,14.309813499450684
random,query,4,1,108,14.288695335388184
random,query,4,1,109,14.348786354064941
random,query,4,1,110,14.419397354125977
random,query,4,1,111,14.279419898986816
random,query,4,1,112,14.408841133117676
random,query,4,1,113,14.34546947479248
random,query,4,1,114,14.431109428405762
random,query,4,1,115,14.242471694946289
random,query,4,1,116,14.382161140441895
random,query,4,1,117,14.352065086364746
random,query,4,1,118,14.362475395202637
random,query,4,1,119,14.290328979492188
random,query,4,1,120,14.339861869812012
random,query,4,1,121,14.256551742553711
random,query,4,1,122,14.336081504821777
random,query,4,1,123,14.381098747253418
random,query,4,1,124,14.282195091247559
random,query,4,1,125,14.35305118560791
random,query,4,1,126,14.409872055053711
random,query,4,1,127,14.312444686889648
random,query,4,1,128,14.259469032287598
random,query,4,1,129,14.330543518066406
random,query,4,1,130,14.388404846191406
random,query,4,1,131,14.257335662841797
random,query,4,1,132,14.304656028747559
random,query,4,1,133,14.346489906311035
random,query,4,1,134,14.326398849487305
random,query,4,1,135,14.35474967956543
random,query,4,1,136,14.33761978149414
random,query,4,1,137,14.24240493774414
random,query,4,1,138,14.322465896606445
random,query,4,1,139,14.307099342346191
random,query,4,1,140,14.279600143432617
random,query,4,1,141,14.318886756896973
random,query,4,1,142,14.306204795837402
random,query,4,1,143,14.328668594360352
random,query,4,1,144,14.363932609558105
random,query,4,1,145,14.225190162658691
random,query,4,1,146,14.33254623413086
random,query,4,1,147,14.332985877990723
random,query,4,1,148,14.43408489227295
random,query,4,1,149,14.26561450958252
random,query,4,1,150,14.316226959228516
random,query,4,1,151,14.415751457214355
random,query,4,1,152,14.330339431762695
random,query,4,1,153,14.2744779586792
random,query,4,1,154,14.37035083770752
random,query,4,1,155,14.37929916381836
random,query,4,1,156,14.34675121307373
random,query,4,1,157,14.333793640136719
random,query,4,1,158,14.387588500976562
random,query,4,1,159,14.23791217803955
random,query,4,1,160,14.395480155944824
random,query,4,1,161,14.439131736755371
random,query,4,1,162,14.417778015136719
random,query,4,1,163,14.429069519042969
random,query,4,1,164,14.360328674316406
random,query,4,1,165,14.307334899902344
random,query,4,1,166,14.217424392700195
random,query,4,1,167,14.311920166015625
random,query,4,1,168,14.445176124572754
random,query,4,1,169,14.292765617370605
random,query,4,1,170,14.302026748657227
random,query,4,1,171,14.352904319763184
random,query,4,1,172,14.211705207824707
random,query,4,1,173,14.420757293701172
random,query,4,1,174,14.333535194396973
random,query,4,1,175,14.431038856506348
random,query,4,1,176,14.349651336669922
random,query,4,1,177,14.345824241638184
random,query,4,1,178,14.342108726501465
random,query,4,1,179,14.438043594360352
random,query,4,1,180,14.367405891418457
random,query,4,1,181,14.390837669372559
random,query,4,1,182,14.334625244140625
random,query,4,1,183,14.344929695129395
random,query,4,1,184,14.31291675567627
random,query,4,1,185,14.25163745880127
random,query,4,1,186,14.228422164916992
random,query,4,1,187,14.288326263427734
random,query,4,1,188,14.378847122192383
random,query,4,1,189,14.440439224243164
random,query,4,1,190,14.451252937316895
random,query,4,1,191,14.426454544067383
random,query,4,1,192,14.410079956054688
random,query,4,1,193,14.370853424072266
random,query,4,1,194,14.223052978515625
random,query,4,1,195,14.470849990844727
random,query,4,1,196,14.372332572937012
random,query,4,1,197,14.346549034118652
random,query,4,1,198,14.366044998168945
random,query,4,1,199,14.313655853271484
random,query,4,1,200,14.278538703918457
random,query,4,2,1,14.24605655670166
random,query,4,2,2,14.24605655670166
random,query,4,2,3,14.310523986816406
random,query,4,2,4,14.194828033447266
random,query,4,2,5,14.37002182006836
random,query,4,2,6,14.253664016723633
random,query,4,2,7,14.317414283752441
random,query,4,2,8,14.435630798339844
random,query,4,2,9,14.397622108459473
random,query,4,2,10,14.402872085571289
random,query,4,2,11,14.317400932312012
random,query,4,2,12,14.39484691619873
random,query,4,2,13,14.353371620178223
random,query,4,2,14,14.470174789428711
random,query,4,2,15,14.399527549743652
random,query,4,2,16,14.427131652832031
random,query,4,2,17,14.404009819030762
random,query,4,2,18,14.299590110778809
random,query,4,2,19,14.2713041305542
random,query,4,2,20,14.370842933654785
random,query,4,2,21,14.324469566345215
random,query,4,2,22,14.440614700317383
random,query,4,2,23,14.366772651672363
random,query,4,2,24,14.285955429077148
random,query,4,2,25,14.37560749053955
random,query,4,2,26,14.5130033493042
random,query,4,2,27,14.365479469299316
random,query,4,2,28,14.359959602355957
random,query,4,2,29,14.300904273986816
random,query,4,2,30,14.337389945983887
random,query,4,2,31,14.353205680847168
random,query,4,2,32,14.28739070892334
random,query,4,2,33,14.3411226272583
random,query,4,2,34,14.550986289978027
random,query,4,2,35,14.293071746826172
random,query,4,2,36,14.358464241027832
random,query,4,2,37,14.326537132263184
random,query,4,2,38,14.393507957458496
random,query,4,2,39,14.241212844848633
random,query,4,2,40,14.250218391418457
random,query,4,2,41,14.2606782913208
random,query,4,2,42,14.461889266967773
random,query,4,2,43,14.286404609680176
random,query,4,2,44,14.313970565795898
random,query,4,2,45,14.338916778564453
random,query,4,2,46,14.225700378417969
random,query,4,2,47,14.265812873840332
random,query,4,2,48,14.392157554626465
random,query,4,2,49,14.36036205291748
random,query,4,2,50,14.364141464233398
random,query,4,2,51,14.311535835266113
random,query,4,2,52,14.425418853759766
random,query,4,2,53,14.282543182373047
random,query,4,2,54,14.344836235046387
random,query,4,2,55,14.32608699798584
random,query,4,2,56,14.406221389770508
random,query,4,2,57,14.340888977050781
random,query,4,2,58,14.411046028137207
random,query,4,2,59,14.420845985412598
random,query,4,2,60,14.334278106689453
random,query,4,2,61,14.35063362121582
random,query,4,2,62,14.348297119140625
random,query,4,2,63,14.323740005493164
random,query,4,2,64,14.342276573181152
random,query,4,2,65,14.384783744812012
