method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
random,query,4,1,913,5,1,True,1919392.0,5,4,True,True,144.0,17433440.0,1.0,4800,3.526404417003505,1.5013298988342285
random,query,4,2,913,5,1,True,1919392.0,5,4,True,True,168.0,17433440.0,1.0,4800,3.1839749999926426,1.4701851606369019
random,query,4,3,913,5,1,True,1919392.0,5,4,True,True,96.0,17433440.0,1.0,4800,3.201497667003423,1.4876245260238647
random,query,4,4,913,5,1,True,1919392.0,5,4,True,True,72.0,17433440.0,1.0,4800,3.3546672080410644,1.5476042032241821
random,query,4,5,913,5,1,True,1919392.0,5,4,True,True,792.0,17433440.0,1.0,4800,3.579009750043042,1.4123294353485107
random,query,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.250569167023059,1.476792335510254
random,query,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.190942957997322,1.4999563694000244
random,query,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.2889966670190915,1.5245537757873535
random,query,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.2416071660118178,1.4783422946929932
random,query,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.3260805410100147,1.4874480962753296
random,query,8,1,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,4800,5.167847667005844,1.5587430000305176
random,query,8,2,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,4800,5.211786250001751,1.566715121269226
random,query,8,3,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,4800,5.617637750052381,1.570910930633545
random,query,8,4,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,4800,5.831308915978298,1.5992101430892944
random,query,8,5,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,4800,5.662728166964371,1.62090003490448
random,query,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.390503166010603,1.8077592849731445
random,query,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.223678125010338,1.8276787996292114
random,query,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.549265333043877,1.8227521181106567
random,query,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.28868512500776,1.8044390678405762
random,query,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,4800,5.275651334028225,1.815330982208252
random,query,13,1,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,2.829012333007995,1.6621835231781006
random,query,13,2,2202,4,4,True,14114080.0,5,1,True,True,120.0,17433440.0,1.0,4800,3.312987665995024,1.7015219926834106
random,query,13,3,2202,4,4,True,14114080.0,5,1,True,True,72.0,17433440.0,1.0,4800,3.2096412910032086,1.650776743888855
random,query,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.241789624968078,1.718177080154419
random,query,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.086894416017458,1.764055848121643
