method,cap_mode,input_id,attack_index,source_index,label,original_exit,original_accuracy,original_proxy,exit,exit_delta,accuracy,success,first_success_queries,proxy,adv_observed_cost,queries_used,elapsed_seconds,delta_l2
random,wall_clock,4,1,913,5,1,True,1919392.0,5,4,True,True,144.0,17433440.0,1.0,4800,3.0360236249980517,1.5013298988342285
random,wall_clock,4,2,913,5,1,True,1919392.0,5,4,True,True,168.0,17433440.0,1.0,4800,2.9459391250275075,1.4701851606369019
random,wall_clock,4,3,913,5,1,True,1919392.0,5,4,True,True,96.0,17433440.0,1.0,4800,3.169007166987285,1.4876245260238647
random,wall_clock,4,4,913,5,1,True,1919392.0,5,4,True,True,72.0,17433440.0,1.0,4800,3.4113068750011735,1.5476042032241821
random,wall_clock,4,5,913,5,1,True,1919392.0,5,4,True,True,792.0,17433440.0,1.0,4800,3.6935502919950522,1.4123294353485107
random,wall_clock,6,1,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.1725924580241553,1.476792335510254
random,wall_clock,6,2,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.45286787499208,1.4999563694000244
random,wall_clock,6,3,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.374032874999102,1.5245537757873535
random,wall_clock,6,4,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,3.3248991249711253,1.4783422946929932
random,wall_clock,6,5,6498,5,2,True,4629216.0,5,3,True,True,24.0,17433440.0,1.0,4800,2.946412249992136,1.4874480962753296
random,wall_clock,8,1,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,3480,3.794623582973145,1.5587430000305176
random,wall_clock,8,2,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,3312,3.781106499955058,1.566715121269226
random,wall_clock,8,3,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,3480,3.790236625005491,1.570910930633545
random,wall_clock,8,4,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,3384,3.780161542003043,1.5992101430892944
random,wall_clock,8,5,789,7,2,True,4629216.0,2,0,True,False,,4629216.0,0.2655365765094757,3384,3.792954375036061,1.62090003490448
random,wall_clock,11,1,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3408,3.7817178750410676,1.8077592849731445
random,wall_clock,11,2,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3384,3.8047602910082787,1.8276787996292114
random,wall_clock,11,3,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3360,3.788424958009273,1.8045554161071777
random,wall_clock,11,4,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3480,3.7901970419916324,1.8302078247070312
random,wall_clock,11,5,8494,8,2,True,4629216.0,4,2,True,False,,14114080.0,0.8095980882644653,3528,3.7990751250181347,1.815330982208252
random,wall_clock,13,1,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.284612624964211,1.6621835231781006
random,wall_clock,13,2,2202,4,4,True,14114080.0,5,1,True,True,120.0,17433440.0,1.0,4800,3.2838877079775557,1.7015219926834106
random,wall_clock,13,3,2202,4,4,True,14114080.0,5,1,True,True,72.0,17433440.0,1.0,4800,3.3044132919749245,1.650776743888855
random,wall_clock,13,4,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.2326328339986503,1.718177080154419
random,wall_clock,13,5,2202,4,4,True,14114080.0,5,1,True,True,24.0,17433440.0,1.0,4800,3.1893704580143094,1.764055848121643
